order_id,item_id,order_type,site
1,1050,real,F20
1,980,real,F20
1,940,real,F20
2,360,real,F20
2,440,real,F20
2,350,real,F20
2,840,real,F20
2,260,real,F17
3,860,real,F20
3,670,real,F20
3,610,real,F20
4,630,real,F20
4,1030,real,F20
4,170,real,F20
4,440,real,F20
5,460,real,F20
5,440,real,F20
5,740,real,F15
5,690,real,F20
6,180,real,F20
6,1090,real,F20
6,1000,real,F20
7,480,real,F20
7,890,real,F20
7,590,real,F20
7,850,real,F20
8,1050,real,F18
8,760,real,F18
8,750,real,F18
8,1010,real,F18
8,740,real,F18
9,820,real,F20
9,600,real,F20
10,480,real,F8
11,130,real,F20
11,1080,real,F20
12,1090,real,F20
12,220,real,F20
12,470,real,F20
12,680,real,F20
13,300,real,F20
13,1040,real,F20
13,170,real,F20
13,100,real,F20
13,680,real,F20
14,640,real,F14
15,1060,real,F20
15,880,real,F20
15,1080,real,F20
16,780,real,F20
16,150,real,F20
17,350,real,F8
18,990,real,F20
19,390,real,F20
19,780,real,F20
19,280,real,F20
19,970,real,F20
20,280,real,F20
20,250,real,F20
20,1020,real,F20
20,680,real,F20
21,1000,real,F20
21,1070,real,F20
22,480,real,F20
22,160,real,F20
22,940,real,F20
23,160,real,F20
23,810,real,F20
23,610,real,F20
23,400,real,F20
23,850,real,F20
24,960,real,F20
24,590,real,F20
25,810,real,F20
25,1040,real,F20
26,760,real,F13
26,170,real,F13
26,340,real,F13
26,550,real,F13
26,260,real,F13
27,440,real,F9
28,330,real,F12
28,140,real,F12
28,610,real,F12
28,200,real,F12
28,540,real,F12
29,730,real,F20
29,570,real,F16
29,300,real,F15
30,340,real,F20
30,170,real,F20
30,880,real,F20
30,160,real,F20
30,1060,real,F20
31,650,real,F19
31,260,real,F13
31,230,real,F13
31,400,real,F13
32,690,real,F20
32,280,real,F20
32,630,real,F20
32,330,real,F20
32,830,real,F20
33,830,real,F15
33,380,real,F15
33,590,real,F15
34,900,real,F20
34,420,real,F20
34,880,real,F20
34,1040,real,F18
35,270,real,F14
35,280,real,F20
35,720,real,F14
35,550,real,F15
35,120,real,F14
36,640,real,F20
36,110,real,F20
36,520,real,F20
36,930,real,F20
36,730,real,F20
37,420,real,F12
37,380,real,F12
37,470,real,F12
37,630,real,F12
38,1050,real,F20
38,350,real,F20
38,570,real,F20
38,1000,real,F20
39,420,real,F20
39,890,real,F20
39,500,real,F20
40,940,real,F20
40,840,real,F20
40,100,real,F17
40,110,real,F20
41,170,real,F20
41,930,real,F20
41,890,real,F20
41,940,real,F20
42,290,real,F20
42,1070,real,F20
43,250,real,F20
43,1080,real,F20
43,770,real,F20
43,990,real,F20
44,160,real,F13
44,360,real,F13
44,650,real,F13
45,270,real,F20
45,1070,real,F20
46,1060,real,F20
46,740,real,F20
47,380,real,F19
47,190,real,F19
47,1010,real,F19
47,910,real,F19
48,780,real,F20
48,760,real,F20
48,350,real,F20
49,500,real,F15
49,780,real,F15
50,700,real,F16
51,150,real,F20
51,960,real,F20
51,1050,real,F20
51,1000,real,F20
51,910,real,F20
52,730,real,F20
53,430,real,F20
53,850,real,F20
53,980,real,F20
53,600,real,F20
54,800,real,F20
54,1000,real,F20
54,210,real,F20
55,600,real,F14
55,210,real,F20
55,530,real,F14
56,1020,real,F20
57,650,real,F12
57,410,real,F20
57,490,real,F12
57,550,real,F12
58,890,real,F20
58,690,real,F20
58,500,real,F20
59,130,real,F20
59,330,real,F20
59,1060,real,F20
60,920,real,F19
60,560,real,F19
60,210,real,F20
60,850,real,F19
60,330,real,F19
61,640,real,F16
61,670,real,F20
62,240,real,F14
62,760,real,F14
63,590,real,F20
63,730,real,F14
64,290,real,F15
64,370,real,F15
64,700,real,F15
64,210,real,F14
65,640,real,F20
65,970,real,F20
65,690,real,F20
66,440,real,F15
66,680,real,F15
66,150,real,F15
66,190,real,F15
67,940,real,F20
67,310,real,F20
67,930,real,F20
67,380,real,F20
68,740,real,F14
69,660,real,F15
70,650,real,F14
70,390,real,F14
71,170,real,F20
71,750,real,F20
71,120,real,F18
72,810,real,F19
73,200,real,F4
73,230,real,F4
74,380,real,F20
74,310,real,F20
74,190,real,F20
74,860,real,F16
75,600,real,F20
75,160,real,F20
75,690,real,F20
75,150,real,F20
75,450,real,F20
76,750,real,F20
76,1010,real,F20
76,830,real,F20
76,820,real,F20
77,720,real,F20
77,850,real,F20
77,870,real,F20
78,380,real,F14
78,810,real,F14
78,740,real,F14
78,800,real,F14
78,280,real,F14
79,110,real,F20
79,1050,real,F20
80,100,real,F3
81,410,real,F20
81,460,real,F20
81,960,real,F19
81,680,real,F20
81,1030,real,F20
82,820,real,F20
82,710,real,F20
82,420,real,F15
82,650,real,F20
83,480,real,F20
83,140,real,F20
83,710,real,F20
84,1080,real,F20
84,110,real,F20
84,300,real,F20
85,140,real,F20
85,750,real,F20
85,710,real,F20
85,980,real,F19
85,790,real,F20
86,1000,real,F20
86,980,real,F20
87,250,real,F20
87,880,real,F20
88,220,real,F13
88,680,real,F13
88,250,real,F13
89,570,real,F12
90,970,real,F20
90,1040,real,F20
90,720,real,F20
90,410,real,F20
91,450,real,F20
91,590,real,F20
91,1000,real,F20
91,330,real,F20
91,910,real,F20
92,790,real,F20
92,990,real,F20
92,620,real,F20
92,280,real,F20
93,360,real,F20
93,820,real,F20
94,1010,real,F20
94,520,real,F20
94,1020,real,F20
94,210,real,F20
