order_id,item_id,order_type,site
1,460,real,F7
1,300,real,F7
2,400,real,F20
2,980,real,F20
3,330,real,F20
3,450,real,F20
3,990,real,F20
3,260,real,F20
3,1010,real,F20
4,910,real,F20
4,1020,real,F20
4,430,real,F20
5,270,real,F11
5,450,real,F11
5,790,real,F11
5,610,real,F11
6,890,real,F14
6,490,real,F14
7,450,real,F20
7,930,real,F20
8,900,real,F20
8,160,real,F20
8,500,real,F20
8,760,real,F20
8,970,real,F20
9,240,real,F5
9,170,real,F5
10,1040,real,F18
10,140,real,F18
11,690,real,F20
11,150,real,F20
11,460,real,F20
11,300,real,F20
11,930,real,F20
12,480,real,F20
13,910,real,F20
13,980,real,F20
13,570,real,F20
13,970,real,F20
14,710,real,F18
14,150,real,F18
14,630,real,F18
14,350,real,F18
14,430,real,F18
15,530,real,F12
15,370,real,F12
15,690,real,F12
15,510,real,F12
15,580,real,F12
16,220,real,F20
16,930,real,F20
16,440,real,F20
16,460,real,F20
16,670,real,F20
17,500,real,F20
17,1060,real,F20
17,520,real,F20
17,970,real,F20
17,860,real,F20
18,1070,real,F20
19,460,real,F8
19,120,real,F8
20,1030,real,F20
20,910,real,F20
21,120,real,F7
21,200,real,F7
21,500,real,F7
22,570,real,F20
22,260,real,F20
23,980,real,F20
23,540,real,F20
23,840,real,F20
23,620,real,F20
23,260,real,F20
24,160,real,F20
24,380,real,F20
24,330,real,F20
24,930,real,F20
24,970,real,F20
25,310,real,F20
25,230,real,F20
25,390,real,F20
25,380,real,F20
25,300,real,F20
26,1070,real,F20
26,940,real,F20
26,800,real,F20
27,1040,real,F20
27,870,real,F20
28,740,real,F20
29,840,real,F20
29,430,real,F20
29,300,real,F20
29,740,real,F20
30,920,real,F20
30,880,real,F20
30,960,real,F20
30,540,real,F20
30,310,real,F20
31,530,real,F14
31,350,real,F14
32,490,real,F20
32,970,real,F20
32,310,real,F20
33,500,real,F7
33,480,real,F7
33,440,real,F7
34,660,real,F20
35,320,real,F20
35,510,real,F20
36,260,real,F18
36,820,real,F18
36,150,real,F18
36,780,real,F18
37,930,real,F20
37,100,real,F20
37,380,real,F20
38,680,real,F17
38,740,real,F17
38,810,real,F17
38,860,real,F17
39,770,real,F12
39,580,real,F12
40,1010,real,F17
40,490,real,F17
40,600,real,F17
41,260,real,F8
42,1030,real,F20
43,590,real,F20
44,290,real,F7
45,560,real,F15
45,170,real,F15
45,730,real,F15
45,980,real,F15
45,100,real,F15
46,380,real,F20
46,600,real,F20
46,900,real,F20
46,700,real,F20
47,950,real,F20
47,570,real,F20
47,140,real,F20
47,1020,real,F20
47,990,real,F20
48,300,real,F6
49,290,real,F17
49,910,real,F17
49,740,real,F17
49,870,real,F17
49,1060,real,F17
50,440,real,F20
50,900,real,F20
50,1020,real,F20
50,990,real,F20
50,460,real,F20
51,290,real,F20
52,190,real,F14
52,840,real,F14
52,370,real,F14
52,680,real,F14
53,920,real,F20
53,390,real,F20
54,710,real,F20
54,980,real,F20
54,220,real,F20
54,180,real,F20
54,850,real,F20
55,480,real,F17
55,370,real,F17
56,1080,real,F20
56,1030,real,F20
56,520,real,F20
56,150,real,F20
56,690,real,F20
57,300,real,F20
57,460,real,F20
57,900,real,F20
57,320,real,F20
58,220,real,F20
58,250,real,F20
58,800,real,F20
58,1030,real,F20
58,1090,real,F20
59,880,real,F20
59,140,real,F20
59,840,real,F20
59,160,real,F20
59,670,real,F20
60,280,real,F17
60,800,real,F17
60,790,real,F17
61,410,real,F20
61,990,real,F20
61,1010,real,F20
61,510,real,F20
