order_id,item_id,order_type,site
1,890,real,F20
1,1020,real,F20
1,230,real,F20
1,510,real,F20
2,830,real,F20
2,580,real,F20
2,670,real,F20
2,350,real,F20
2,570,real,F20
3,890,real,F20
3,740,real,F20
3,680,real,F20
3,750,real,F20
3,940,real,F20
4,1060,real,F20
4,550,real,F20
4,120,real,F20
4,880,real,F20
4,310,real,F20
5,760,real,F20
5,250,real,F20
5,280,real,F20
6,860,real,F19
6,790,real,F19
6,410,real,F19
7,520,real,F20
7,790,real,F20
7,1090,real,F20
8,1060,real,F20
8,570,real,F20
8,490,real,F20
9,350,real,F17
9,950,real,F17
10,490,real,F20
10,970,real,F20
10,730,real,F20
11,780,real,F20
11,860,real,F20
12,680,real,F15
13,560,real,F20
13,1040,real,F20
13,520,real,F20
13,530,real,F20
13,360,real,F20
14,450,real,F20
14,720,real,F20
14,190,real,F20
15,810,real,F20
15,220,real,F20
15,980,real,F20
16,830,real,F20
16,410,real,F20
16,850,real,F20
17,480,real,F20
17,620,real,F20
17,1000,real,F20
18,470,real,F11
19,270,real,F8
19,410,real,F8
20,390,real,F18
20,230,real,F18
20,830,real,F18
20,1040,real,F18
21,560,real,F20
21,260,real,F20
21,920,real,F20
21,1060,real,F20
22,370,real,F20
22,880,real,F20
22,510,real,F20
23,560,real,F20
23,1020,real,F20
23,800,real,F20
23,130,real,F20
24,810,real,F20
24,900,real,F20
25,1080,real,F20
25,260,real,F20
25,800,real,F20
26,860,real,F20
26,340,real,F20
26,980,real,F20
27,350,real,F20
27,340,real,F20
27,180,real,F20
27,870,real,F20
28,370,real,F17
28,550,real,F17
28,760,real,F17
28,570,real,F17
28,910,real,F17
29,240,real,F20
29,830,real,F20
29,220,real,F20
29,710,real,F20
30,270,real,F20
30,970,real,F20
30,650,real,F20
30,620,real,F20
31,950,real,F20
31,550,real,F20
32,1010,real,F20
32,200,real,F20
32,410,real,F20
33,1040,real,F20
33,220,real,F20
33,1030,real,F20
34,960,real,F18
35,1090,real,F20
35,660,real,F20
35,900,real,F20
36,610,real,F19
36,890,real,F19
36,330,real,F19
36,1020,real,F19
36,460,real,F19
37,110,real,F20
37,540,real,F20
37,890,real,F20
37,680,real,F20
37,640,real,F20
38,710,real,F20
38,220,real,F20
38,480,real,F20
38,760,real,F20
39,110,real,F20
39,880,real,F20
39,1000,real,F20
39,400,real,F20
40,870,real,F20
41,1060,real,F20
42,340,real,F6
43,180,real,F6
43,370,real,F6
44,750,real,F19
44,1080,real,F19
44,440,real,F19
45,180,real,F20
45,1080,real,F20
46,1060,real,F20
46,210,real,F20
46,790,real,F20
46,590,real,F20
47,720,real,F20
47,530,real,F20
47,630,real,F20
47,970,real,F20
48,240,real,F20
48,710,real,F20
48,740,real,F20
49,640,real,F18
49,220,real,F18
49,910,real,F18
49,970,real,F18
50,620,real,F20
50,1010,real,F20
51,100,real,F20
51,820,real,F20
51,190,real,F20
51,220,real,F20
52,890,real,F20
52,810,real,F20
52,1050,real,F20
53,800,real,F20
53,500,real,F20
53,820,real,F20
54,120,real,F20
54,770,real,F20
55,1090,real,F20
56,870,real,F20
57,730,real,F19
57,250,real,F19
57,530,real,F19
57,100,real,F19
57,740,real,F19
58,210,real,F12
58,430,real,F12
58,640,real,F12
58,620,real,F12
59,560,real,F20
59,250,real,F20
59,400,real,F20
59,1050,real,F20
60,990,real,F20
60,390,real,F20
60,930,real,F20
60,240,real,F20
60,590,real,F20
61,270,real,F5
61,280,real,F5
62,340,real,F9
62,490,real,F9
62,170,real,F9
63,660,real,F13
63,220,real,F13
63,750,real,F13
64,230,real,F20
64,990,real,F20
64,360,real,F20
65,1030,real,F20
66,210,real,F5
67,700,real,F20
67,730,real,F20
68,560,real,F10
69,390,real,F20
69,310,real,F20
69,450,real,F20
69,1030,real,F20
70,790,real,F20
71,680,real,F20
71,1040,real,F20
71,860,real,F20
71,370,real,F20
71,230,real,F20
72,1080,real,F20
73,210,real,F20
73,660,real,F20
74,400,real,F10
75,820,real,F18
75,490,real,F18
75,460,real,F18
75,260,real,F18
75,1070,real,F18
76,840,real,F20
76,310,real,F20
77,130,real,F20
77,160,real,F20
77,680,real,F20
77,490,real,F20
77,1000,real,F20
78,220,real,F15
78,510,real,F15
79,1000,real,F20
80,610,real,F20
80,840,real,F20
81,630,real,F12
81,160,real,F12
81,660,real,F12
81,430,real,F12
82,140,real,F20
82,870,real,F20
82,180,real,F20
82,470,real,F20
82,530,real,F20
83,230,real,F20
83,370,real,F20
83,550,real,F20
83,610,real,F20
84,680,real,F20
84,480,real,F20
84,960,real,F20
84,930,real,F20
84,1000,real,F20
85,450,real,F9
85,470,real,F9
86,930,real,F20
87,130,real,F20
87,1020,real,F20
87,950,real,F20
87,350,real,F20
88,610,real,F15
89,920,real,F20
89,810,real,F20
89,500,real,F20
90,510,real,F20
90,570,real,F20
90,900,real,F20
91,780,real,F20
91,1050,real,F20
91,110,real,F20
92,480,real,F20
92,510,real,F20
92,700,real,F20
92,100,real,F20
93,310,real,F11
93,260,real,F11
93,550,real,F11
93,170,real,F11
94,820,real,F20
94,290,real,F20
94,990,real,F20
95,170,real,F10
95,490,real,F10
95,460,real,F10
96,470,real,F20
96,570,real,F20
96,630,real,F20
96,930,real,F20
97,1060,real,F20
97,810,real,F20
98,490,real,F13
98,260,real,F13
98,660,real,F13
98,180,real,F13
98,430,real,F13
99,650,real,F20
99,180,real,F20
99,470,real,F20
99,200,real,F20
99,440,real,F20
100,660,real,F16
101,1090,real,F20
101,290,real,F20
102,1010,real,F18
103,890,real,F18
103,550,real,F18
103,300,real,F18
103,210,real,F18
103,790,real,F18
104,1040,real,F20
104,670,real,F20
104,840,real,F20
104,270,real,F20
105,830,real,F20
105,720,real,F20
105,210,real,F20
105,340,real,F20
105,1050,real,F20
106,290,real,F20
106,740,real,F20
106,130,real,F20
106,990,real,F20
107,890,real,F20
107,770,real,F20
107,150,real,F20
107,970,real,F20
108,170,real,F4
108,200,real,F4
109,640,real,F13
109,750,real,F13
110,460,real,F13
110,260,real,F13
110,500,real,F13
110,620,real,F13
111,200,real,F20
111,1060,real,F20
111,920,real,F20
111,1010,real,F20
111,470,real,F20
112,160,real,F20
112,900,real,F20
112,180,real,F20
112,920,real,F20
113,320,real,F20
113,870,real,F20
113,1040,real,F20
114,800,real,F20
114,1090,real,F20
114,160,real,F20
115,850,real,F20
115,860,real,F20
115,1020,real,F20
115,270,real,F20
116,130,real,F20
116,910,real,F20
116,200,real,F20
117,390,real,F20
117,990,real,F20
117,240,real,F20
118,690,real,F18
118,910,real,F18
119,840,real,F20
119,1060,real,F20
119,100,real,F20
119,250,real,F20
120,600,real,F20
120,360,real,F20
120,1000,real,F20
121,390,real,F20
121,930,real,F20
122,760,real,F14
123,310,real,F8
124,580,real,F16
125,700,real,F15
125,250,real,F15
125,130,real,F15
125,140,real,F15
126,150,real,F15
126,690,real,F15
126,220,real,F15
126,480,real,F15
127,620,real,F20
127,140,real,F20
127,950,real,F20
127,160,real,F20
128,510,real,F20
128,250,real,F20
128,1080,real,F20
128,360,real,F20
129,300,real,F14
129,160,real,F14
129,520,real,F14
130,860,real,F20
130,960,real,F20
130,250,real,F20
131,610,real,F20
131,910,real,F20
131,1040,real,F20
131,750,real,F20
131,660,real,F20
132,460,real,F20
132,1040,real,F20
132,880,real,F20
132,120,real,F20
133,160,real,F19
133,720,real,F19
133,980,real,F19
133,1000,real,F19
134,820,real,F20
134,940,real,F20
134,990,real,F20
134,540,real,F20
134,680,real,F20
135,580,real,F20
135,700,real,F20
136,1080,real,F20
136,900,real,F20
136,650,real,F20
136,910,real,F20
136,670,real,F20
137,220,real,F9
138,580,real,F20
138,400,real,F20
138,1060,real,F20
138,270,real,F20
138,990,real,F20
139,590,real,F20
139,230,real,F20
139,400,real,F20
140,870,real,F20
141,500,real,F20
141,120,real,F20
141,100,real,F20
141,650,real,F20
141,1050,real,F20
142,390,real,F20
142,500,real,F20
142,900,real,F20
142,700,real,F20
143,170,real,F20
143,810,real,F20
143,290,real,F20
144,160,real,F4
145,430,real,F9
146,1090,real,F18
146,690,real,F18
146,320,real,F18
146,1020,real,F18
146,620,real,F18
147,230,real,F6
148,1010,real,F20
148,120,real,F20
149,1040,real,F20
149,840,real,F20
149,230,real,F20
149,1070,real,F20
149,240,real,F20
150,810,real,F20
150,520,real,F20
150,600,real,F20
150,1000,real,F20
151,800,real,F14
151,430,real,F14
151,330,real,F14
151,540,real,F14
151,150,real,F14
152,590,real,F17
153,200,real,F3
154,510,real,F20
155,820,real,F14
155,350,real,F14
155,770,real,F14
156,520,real,F20
156,460,real,F20
156,720,real,F20
156,930,real,F20
157,780,real,F20
158,550,real,F20
158,780,real,F20
158,830,real,F20
158,660,real,F20
158,150,real,F20
159,870,real,F20
160,240,real,F12
160,330,real,F12
160,640,real,F12
160,150,real,F12
161,500,real,F19
161,410,real,F19
161,850,real,F19
162,290,real,F20
162,1090,real,F20
162,1080,real,F20
163,180,real,F20
163,190,real,F20
163,800,real,F20
164,470,real,F14
164,340,real,F14
164,690,real,F14
164,380,real,F14
165,390,real,F12
165,100,real,F12
166,270,real,F5
167,310,real,F20
167,730,real,F20
167,750,real,F20
167,130,real,F20
167,300,real,F20
168,610,real,F11
169,460,real,F10
169,430,real,F10
170,710,real,F20
170,900,real,F20
171,190,real,F5
172,690,real,F17
172,840,real,F17
172,380,real,F17
172,390,real,F17
172,610,real,F17
173,490,real,F20
173,1030,real,F20
173,370,real,F20
174,570,real,F20
174,200,real,F20
174,960,real,F20
175,1060,real,F20
175,700,real,F20
175,720,real,F20
175,320,real,F20
175,1080,real,F20
176,100,real,F18
176,1090,real,F18
176,490,real,F18
176,860,real,F18
177,350,real,F6
178,360,real,F18
178,1070,real,F18
179,570,real,F11
180,750,real,F20
180,920,real,F20
180,240,real,F20
180,160,real,F20
181,410,real,F20
181,430,real,F20
182,730,real,F17
182,290,real,F17
182,430,real,F17
182,990,real,F17
183,840,real,F20
183,280,real,F20
184,440,real,F8
185,660,real,F20
185,1050,real,F20
185,760,real,F20
186,270,real,F9
186,390,real,F9
186,470,real,F9
187,390,real,F20
187,750,real,F20
187,840,real,F20
188,600,real,F20
188,480,real,F20
188,210,real,F20
189,500,real,F14
189,790,real,F14
189,400,real,F14
190,340,real,F6
191,680,real,F20
191,750,real,F20
191,1040,real,F20
191,250,real,F20
191,360,real,F20
192,320,real,F7
192,430,real,F7
193,510,real,F20
193,170,real,F20
193,990,real,F20
194,430,real,F8
195,190,real,F3
196,450,real,F20
196,1030,real,F20
196,290,real,F20
196,660,real,F20
197,950,real,F20
197,650,real,F20
197,520,real,F20
197,330,real,F20
197,730,real,F20
198,520,real,F18
198,110,real,F18
198,900,real,F18
199,1010,real,F20
199,530,real,F20
199,1050,real,F20
200,1020,real,F20
200,150,real,F20
200,410,real,F20
201,680,real,F17
201,570,real,F17
201,370,real,F17
202,480,real,F20
202,120,real,F20
202,640,real,F20
202,470,real,F20
202,490,real,F20
203,160,real,F20
203,750,real,F20
203,1010,real,F20
203,340,real,F20
203,440,real,F20
204,990,real,F20
