item_id,site,lead_17,lead_16
100,F10,2,1
100,F11,1,2
100,F12,2,2
100,F13,0,2
100,F14,2,5
100,F15,4,3
100,F16,3,0
100,F17,3,0
100,F18,5,4
100,F19,3,1
100,F2,1,0
100,F20,40,44
100,F3,2,2
100,F4,2,0
100,F6,1,5
100,F8,1,1
100,F9,0,2
110,F10,0,1
110,F11,2,4
110,F12,2,2
110,F13,2,0
110,F14,1,1
110,F15,2,1
110,F16,0,1
110,F17,3,3
110,F18,3,1
110,F19,4,4
110,F2,0,1
110,F20,32,51
110,F3,6,6
110,F4,0,3
110,F5,1,2
110,F6,1,0
110,F7,1,3
110,F8,2,1
110,F9,0,1
120,F10,4,3
120,F11,0,1
120,F12,2,2
120,F13,4,2
120,F14,1,3
120,F15,2,1
120,F16,6,2
120,F17,3,2
120,F18,1,2
120,F19,2,1
120,F20,36,48
120,F3,2,3
120,F4,0,3
120,F5,5,2
120,F6,4,3
120,F7,2,2
120,F8,1,1
120,F9,1,0
130,F10,1,3
130,F11,2,2
130,F12,4,2
130,F13,6,3
130,F14,3,1
130,F15,2,1
130,F16,4,2
130,F17,0,1
130,F18,0,1
130,F2,1,0
130,F20,48,49
130,F3,5,0
130,F4,2,1
130,F5,3,0
130,F6,1,1
130,F7,0,2
130,F8,1,0
130,F9,3,1
140,F1,0,1
140,F10,0,2
140,F11,2,2
140,F12,1,0
140,F13,3,3
140,F14,3,4
140,F15,2,5
140,F16,1,4
140,F17,1,3
140,F18,2,2
140,F19,2,5
140,F2,1,0
140,F20,46,47
140,F3,2,3
140,F4,1,2
140,F5,0,1
140,F6,2,2
140,F7,1,4
140,F8,0,2
150,F11,4,2
150,F12,1,1
150,F13,4,2
150,F14,5,2
150,F15,4,2
150,F16,2,1
150,F17,2,0
150,F18,4,3
150,F19,4,1
150,F20,34,32
150,F3,2,2
150,F4,2,2
150,F5,0,2
150,F6,0,1
150,F7,1,2
150,F8,1,3
150,F9,0,2
160,F10,2,1
160,F11,1,1
160,F12,2,1
160,F13,3,2
160,F14,1,3
160,F15,2,2
160,F16,4,3
160,F17,2,1
160,F18,3,3
160,F19,2,4
160,F2,1,1
160,F20,41,52
160,F3,3,2
160,F4,2,2
160,F5,2,2
160,F6,1,4
160,F7,0,1
160,F8,1,4
160,F9,2,1
170,F1,1,0
170,F10,2,2
170,F11,2,4
170,F12,2,3
170,F13,5,3
170,F14,3,2
170,F15,2,2
170,F16,1,1
170,F17,1,3
170,F18,1,1
170,F19,3,0
170,F2,2,2
170,F20,29,46
170,F3,3,1
170,F4,2,1
170,F5,2,4
170,F6,2,0
170,F7,2,1
170,F8,2,2
170,F9,0,2
180,F10,1,1
180,F11,4,3
180,F12,3,3
180,F13,3,1
180,F14,0,1
180,F15,1,6
180,F16,4,0
180,F17,2,2
180,F18,5,4
180,F19,3,1
180,F20,32,36
180,F3,1,4
180,F4,3,1
180,F5,2,1
180,F6,1,3
180,F8,2,0
190,F10,1,0
190,F11,1,0
190,F12,2,4
190,F13,3,5
190,F14,2,2
190,F15,2,0
190,F16,2,1
190,F17,3,0
190,F18,3,1
190,F19,4,3
190,F20,35,58
190,F3,2,1
190,F4,2,1
190,F5,2,1
190,F6,0,1
190,F7,3,1
190,F8,3,1
190,F9,3,2
200,F1,0,1
200,F10,2,1
200,F11,4,2
200,F12,5,1
200,F13,0,4
200,F14,1,0
200,F15,2,2
200,F16,3,4
200,F17,6,1
200,F18,7,4
200,F19,1,3
200,F2,2,1
200,F20,32,47
200,F3,3,0
200,F4,2,2
200,F5,0,2
200,F6,2,2
200,F7,1,1
200,F8,3,2
200,F9,1,1
210,F10,2,1
210,F11,1,1
210,F12,2,3
210,F13,1,2
210,F14,2,2
210,F15,1,3
210,F16,3,5
210,F17,2,3
210,F18,5,0
210,F19,1,1
210,F20,33,43
210,F4,1,2
210,F5,1,2
210,F6,1,1
210,F7,2,1
210,F8,0,2
210,F9,2,1
220,F10,1,3
220,F12,2,0
220,F13,4,5
220,F14,2,2
220,F15,3,5
220,F16,2,2
220,F17,2,0
220,F18,4,2
220,F19,1,6
220,F2,0,1
220,F20,35,59
220,F4,0,5
220,F5,2,2
220,F6,1,2
220,F7,1,2
220,F8,3,3
220,F9,2,0
230,F1,0,1
