order_id,item_id,order_type,site
1,1070,real,F20
1,720,real,F20
2,610,real,F13
2,730,real,F13
3,1060,real,F20
3,1000,real,F20
4,1030,real,F20
5,570,real,F11
5,590,real,F11
6,710,real,F14
6,110,real,F14
7,810,real,F20
8,980,real,F17
8,860,real,F17
8,490,real,F17
8,720,real,F17
9,1080,real,F20
9,900,real,F20
9,990,real,F20
9,940,real,F20
10,610,real,F20
10,600,real,F20
10,510,real,F20
11,810,real,F14
12,560,real,F20
12,150,real,F20
12,230,real,F20
13,300,real,F5
14,110,real,F6
14,380,real,F6
15,290,real,F20
15,690,real,F20
16,670,real,F20
17,270,real,F20
17,390,real,F20
17,240,real,F20
17,640,real,F20
18,750,real,F20
18,420,real,F20
18,100,real,F20
18,1020,real,F20
18,200,real,F20
19,290,real,F5
20,510,real,F11
20,360,real,F11
20,100,real,F11
21,1010,real,F20
21,230,real,F20
22,630,real,F20
22,760,real,F20
22,480,real,F20
22,970,real,F20
23,790,real,F20
23,680,real,F20
24,370,real,F20
24,1050,real,F20
24,280,real,F20
24,980,real,F20
24,590,real,F20
25,240,real,F7
25,430,real,F7
25,140,real,F7
26,730,real,F17
26,890,real,F17
27,580,real,F20
27,260,real,F20
27,110,real,F20
28,420,real,F20
28,590,real,F20
28,700,real,F20
28,450,real,F20
29,920,real,F20
29,580,real,F20
29,780,real,F20
29,910,real,F20
29,950,real,F20
30,530,real,F20
31,460,real,F17
31,450,real,F17
31,350,real,F17
31,1010,real,F17
31,920,real,F17
32,180,real,F16
32,910,real,F16
32,810,real,F16
33,280,real,F17
33,690,real,F17
33,400,real,F17
34,750,real,F20
34,1070,real,F20
34,290,real,F20
34,340,real,F20
34,930,real,F20
35,860,real,F20
35,660,real,F20
36,1050,real,F18
36,480,real,F18
36,1000,real,F18
37,940,real,F20
37,960,real,F20
37,600,real,F20
37,500,real,F20
37,1050,real,F20
38,850,real,F17
38,670,real,F17
38,990,real,F17
39,840,real,F20
39,260,real,F20
39,1070,real,F20
39,970,real,F20
39,950,real,F20
40,800,real,F15
40,310,real,F15
41,350,real,F11
41,530,real,F11
42,580,real,F20
42,970,real,F20
43,170,real,F12
44,700,real,F20
44,950,real,F20
44,1080,real,F20
44,780,real,F20
44,340,real,F20
45,960,real,F18
46,820,real,F20
46,730,real,F20
46,340,real,F20
46,870,real,F20
47,720,real,F20
47,930,real,F20
47,760,real,F20
48,380,real,F20
49,690,real,F20
49,830,real,F20
50,1060,real,F20
51,760,real,F15
51,690,real,F15
52,310,real,F20
52,820,real,F20
52,130,real,F20
52,890,real,F20
52,750,real,F20
53,600,real,F20
53,400,real,F20
53,350,real,F20
54,1040,real,F20
54,1060,real,F20
55,340,real,F18
55,310,real,F18
55,580,real,F18
55,870,real,F18
55,900,real,F18
56,520,real,F20
56,730,real,F20
56,980,real,F20
56,670,real,F20
57,680,real,F15
57,190,real,F15
57,490,real,F15
57,570,real,F15
58,900,real,F20
58,130,real,F20
58,110,real,F20
59,270,real,F10
59,230,real,F10
59,200,real,F10
59,520,real,F10
60,910,real,F20
60,570,real,F20
60,760,real,F20
60,410,real,F20
60,820,real,F20
61,510,real,F20
61,910,real,F20
61,440,real,F20
61,860,real,F20
62,880,real,F20
62,640,real,F20
62,970,real,F20
63,520,real,F12
63,670,real,F12
63,500,real,F12
64,760,real,F17
64,560,real,F17
64,380,real,F17
64,1000,real,F17
64,590,real,F17
65,670,real,F20
65,570,real,F20
66,1010,real,F20
66,790,real,F20
66,560,real,F20
66,120,real,F20
67,130,real,F20
67,590,real,F20
68,360,real,F6
69,1080,real,F20
70,420,real,F20
70,340,real,F20
70,460,real,F20
70,800,real,F20
70,530,real,F20
71,730,real,F20
71,470,real,F20
71,640,real,F20
71,370,real,F20
71,400,real,F20
72,250,real,F20
72,1040,real,F20
73,1020,real,F18
73,920,real,F18
73,310,real,F18
74,850,real,F20
75,580,real,F20
75,450,real,F20
75,670,real,F20
75,970,real,F20
75,630,real,F20
76,810,real,F20
76,100,real,F20
77,790,real,F20
77,200,real,F20
77,850,real,F20
77,450,real,F20
77,190,real,F20
78,580,real,F19
78,640,real,F19
78,920,real,F19
78,550,real,F19
78,910,real,F19
79,1000,real,F20
79,480,real,F20
79,130,real,F20
79,910,real,F20
79,320,real,F20
80,1050,real,F20
81,1020,real,F20
82,950,real,F20
83,180,real,F4
84,200,real,F6
84,370,real,F6
85,220,real,F16
85,470,real,F16
85,640,real,F16
85,730,real,F16
86,1010,real,F20
86,1080,real,F20
86,160,real,F20
87,610,real,F20
87,500,real,F20
88,190,real,F3
89,1010,real,F20
89,1050,real,F20
89,770,real,F20
89,850,real,F20
89,1080,real,F20
90,710,real,F20
91,180,real,F18
91,1040,real,F18
91,610,real,F18
91,490,real,F18
91,660,real,F18
92,440,real,F20
93,590,real,F19
93,410,real,F19
93,270,real,F19
93,1030,real,F19
93,950,real,F19
94,1060,real,F20
94,430,real,F20
94,440,real,F20
94,560,real,F20
94,660,real,F20
95,320,real,F11
95,270,real,F11
95,540,real,F11
95,570,real,F11
