item_id,site,lead_0_x,lead_0_y,lead_0
100,F10,1,1,0
100,F11,5,5,0
100,F12,2,2,0
100,F13,1,1,0
100,F14,2,2,0
100,F15,2,2,0
100,F16,3,3,0
100,F17,2,2,0
100,F18,3,3,0
100,F19,3,3,0
100,F20,39,39,0
100,F4,1,1,0
100,F6,3,3,0
100,F8,1,1,0
100,F9,1,1,0
110,F1,1,1,0
110,F10,1,1,0
110,F11,2,2,0
110,F12,2,2,0
110,F15,3,3,0
110,F16,3,3,0
110,F17,4,4,0
110,F18,2,2,0
110,F19,1,1,0
110,F20,62,62,0
110,F7,3,3,0
110,F8,2,2,0
110,F9,2,2,0
120,F11,1,1,0
120,F12,1,1,0
120,F14,2,2,0
120,F15,2,2,0
120,F16,4,4,0
120,F17,1,1,0
120,F18,3,3,0
120,F20,46,46,0
120,F9,1,1,0
130,F10,1,1,0
130,F11,3,3,0
130,F13,1,1,0
130,F14,2,2,0
130,F15,3,3,0
130,F16,1,1,0
130,F17,1,1,0
130,F18,4,4,0
130,F20,51,51,0
130,F3,1,1,0
130,F4,1,1,0
130,F5,1,1,0
130,F6,1,1,0
130,F8,1,1,0
130,F9,1,1,0
140,F10,4,4,0
140,F11,1,1,0
140,F12,3,3,0
140,F13,1,1,0
140,F14,3,3,0
140,F16,1,1,0
140,F17,2,2,0
140,F18,4,4,0
140,F19,4,4,0
140,F20,55,55,0
140,F7,1,1,0
140,F9,1,1,0
150,F10,1,1,0
150,F11,2,2,0
150,F13,3,3,0
150,F14,1,1,0
150,F15,1,1,0
150,F17,4,4,0
150,F18,3,3,0
150,F20,48,48,0
150,F4,1,1,0
150,F6,2,2,0
150,F7,1,1,0
150,F8,1,1,0
160,F10,1,1,0
160,F11,1,1,0
160,F12,3,3,0
160,F13,1,1,0
160,F14,2,2,0
160,F15,2,2,0
160,F16,1,1,0
160,F17,5,5,0
160,F18,1,1,0
160,F19,6,6,0
160,F20,50,50,0
160,F3,1,1,0
160,F4,1,1,0
160,F8,1,1,0
170,F10,2,2,0
170,F11,2,2,0
170,F13,1,1,0
170,F14,4,4,0
170,F15,4,4,0
170,F16,2,2,0
170,F17,3,3,0
170,F18,3,3,0
170,F19,1,1,0
170,F20,55,55,0
170,F5,1,1,0
170,F6,3,3,0
170,F9,1,1,0
180,F10,2,2,0
180,F11,4,4,0
180,F12,2,2,0
180,F14,2,2,0
180,F15,2,2,0
180,F16,2,2,0
180,F17,2,2,0
180,F19,3,3,0
180,F20,46,46,0
180,F5,1,1,0
180,F6,1,1,0
180,F7,2,2,0
180,F8,4,4,0
180,F9,2,2,0
190,F10,1,1,0
190,F11,1,1,0
190,F12,1,1,0
190,F13,2,2,0
190,F14,4,4,0
190,F15,2,2,0
