item_id,site,lead_1,lead_0
100,F10,1,1
100,F11,1,5
100,F12,1,2
100,F13,3,1
100,F14,0,2
100,F15,4,2
100,F16,3,3
100,F17,1,2
100,F18,2,3
100,F19,4,3
100,F20,33,39
100,F4,2,1
100,F5,2,0
100,F6,1,3
100,F8,0,1
100,F9,1,1
110,F1,0,1
110,F10,1,1
110,F11,3,2
110,F12,0,2
110,F13,1,0
110,F14,1,0
110,F15,1,3
110,F16,1,3
110,F17,0,4
110,F18,6,2
110,F19,2,1
110,F20,29,62
110,F4,2,0
110,F7,0,3
110,F8,3,2
110,F9,1,2
120,F10,1,0
120,F11,1,1
120,F12,1,1
120,F14,0,2
120,F15,2,2
120,F16,3,4
120,F17,5,1
120,F18,2,3
120,F19,2,0
120,F20,26,46
120,F5,1,0
120,F6,1,0
120,F9,2,1
130,F10,3,1
130,F11,2,3
130,F12,1,0
130,F13,1,1
130,F14,3,2
130,F15,2,3
130,F16,4,1
130,F17,2,1
130,F18,1,4
130,F20,29,51
130,F3,0,1
130,F4,1,1
130,F5,0,1
130,F6,1,1
130,F7,1,0
130,F8,1,1
130,F9,0,1
140,F10,1,4
140,F11,2,1
140,F12,2,3
140,F13,0,1
140,F14,1,3
140,F15,3,0
140,F16,1,1
140,F17,4,2
140,F18,3,4
140,F19,6,4
140,F20,23,55
140,F7,1,1
140,F8,2,0
140,F9,1,1
150,F10,1,1
150,F11,1,2
150,F13,1,3
150,F14,4,1
150,F15,1,1
150,F16,2,0
150,F17,4,4
150,F18,2,3
150,F19,1,0
150,F20,37,48
150,F4,0,1
150,F5,1,0
150,F6,2,2
150,F7,0,1
150,F8,0,1
150,F9,1,0
160,F1,1,0
160,F10,0,1
160,F11,2,1
160,F12,2,3
160,F13,1,1
160,F14,1,2
160,F15,2,2
160,F16,0,1
160,F17,5,5
160,F18,3,1
160,F19,0,6
160,F20,29,50
160,F3,1,1
160,F4,0,1
160,F5,1,0
160,F6,1,0
160,F8,3,1
170,F10,1,2
170,F11,3,2
170,F12,1,0
170,F13,4,1
170,F14,1,4
170,F15,1,4
170,F16,2,2
170,F17,3,3
170,F18,1,3
170,F19,3,1
170,F20,27,55
170,F5,0,1
170,F6,0,3
170,F9,1,1
180,F10,2,2
180,F11,0,4
180,F12,1,2
180,F13,4,0
180,F14,2,2
180,F15,1,2
180,F16,2,2
180,F17,2,2
180,F19,3,3
180,F20,37,46
180,F3,1,0
180,F5,0,1
180,F6,0,1
180,F7,3,2
180,F8,0,4
180,F9,2,2
190,F10,2,1
