item_id,site,lead_10,lead_5
100,F1,1,2
100,F10,3,0
100,F12,1,2
100,F13,4,2
100,F14,2,4
100,F15,0,1
100,F16,5,3
100,F17,4,2
100,F18,5,1
100,F19,1,2
100,F2,0,1
100,F20,40,65
100,F3,4,4
100,F4,0,2
100,F5,2,3
100,F6,1,1
100,F7,2,1
100,F8,0,1
100,F9,1,1
110,F10,0,2
110,F12,0,2
110,F13,1,2
110,F14,2,3
110,F15,6,5
110,F16,1,1
110,F17,3,4
110,F18,2,4
110,F19,4,3
110,F2,1,0
110,F20,37,64
110,F3,1,4
110,F4,1,2
110,F5,1,3
110,F6,0,1
110,F7,2,0
110,F8,0,1
110,F9,1,3
120,F1,1,0
120,F10,2,0
120,F11,0,1
120,F12,3,3
120,F13,5,1
120,F14,2,1
120,F15,3,2
120,F16,2,2
120,F17,4,4
120,F18,2,4
120,F19,2,3
120,F2,0,1
120,F20,42,58
120,F3,7,1
120,F4,1,1
120,F5,3,0
120,F6,4,1
120,F7,1,1
120,F8,0,1
120,F9,2,2
130,F1,1,1
130,F10,3,6
130,F11,1,1
130,F12,1,2
130,F13,1,2
130,F14,3,3
130,F15,3,2
130,F16,4,2
130,F17,3,2
130,F18,2,3
130,F19,4,1
130,F2,1,0
130,F20,42,53
130,F3,2,2
130,F4,0,1
130,F5,0,6
130,F6,2,2
130,F7,0,1
130,F8,1,1
140,F10,2,2
140,F11,0,1
140,F12,1,1
140,F13,4,1
140,F14,4,4
140,F15,1,5
140,F16,2,2
140,F17,0,1
140,F18,5,2
140,F19,5,1
140,F2,1,0
140,F20,40,74
140,F3,2,4
140,F4,3,2
140,F5,4,0
140,F6,3,2
140,F8,0,2
140,F9,2,3
150,F1,0,2
150,F10,0,4
150,F11,0,1
150,F12,3,3
150,F13,1,5
150,F14,0,1
150,F15,3,2
150,F16,2,4
150,F17,5,3
150,F18,1,2
150,F19,4,1
150,F2,1,2
150,F20,37,44
150,F3,2,1
150,F4,2,1
150,F5,2,1
150,F6,1,1
150,F7,2,1
150,F8,1,0
150,F9,0,2
160,F10,4,0
160,F11,3,2
160,F12,2,1
160,F13,1,5
160,F14,0,3
160,F15,1,1
160,F16,0,3
160,F17,2,0
160,F18,4,3
160,F19,3,4
160,F20,47,55
160,F3,2,5
160,F4,1,3
160,F5,1,1
160,F6,0,4
160,F7,3,2
