item_id,site,lead_5,lead_4
100,F1,2,0
100,F10,2,4
100,F11,0,4
100,F12,1,1
100,F13,1,3
100,F14,2,2
100,F15,3,3
100,F16,6,2
100,F17,4,2
100,F18,4,3
100,F19,1,2
100,F20,59,43
100,F3,5,1
100,F4,3,0
100,F5,2,2
100,F6,1,4
100,F8,2,0
100,F9,0,2
110,F10,1,1
110,F11,3,2
110,F12,3,4
110,F13,1,1
110,F14,6,4
110,F15,0,3
110,F16,4,4
110,F17,2,6
110,F18,5,1
110,F19,3,5
110,F2,0,2
110,F20,64,29
110,F3,3,3
110,F4,3,1
110,F5,3,2
110,F7,2,0
110,F8,0,2
110,F9,1,3
120,F1,0,1
120,F10,1,3
120,F11,2,2
120,F12,3,1
120,F13,1,5
120,F14,1,2
120,F15,4,4
120,F16,3,1
120,F17,4,3
120,F18,1,2
120,F19,3,1
120,F2,1,1
120,F20,57,34
120,F3,0,6
120,F4,1,2
120,F5,3,1
120,F6,0,1
120,F7,1,1
120,F8,0,2
120,F9,1,1
130,F1,1,0
130,F10,3,0
130,F11,1,2
130,F12,2,2
130,F13,2,1
130,F14,2,1
130,F15,1,2
130,F16,0,2
130,F17,2,1
130,F18,3,1
130,F19,2,2
130,F2,0,1
130,F20,56,33
130,F3,5,3
130,F4,3,1
130,F6,1,1
130,F7,3,1
130,F8,3,1
130,F9,1,0
140,F1,0,1
140,F10,2,1
140,F11,3,1
140,F13,2,2
140,F14,3,2
140,F15,1,1
140,F16,3,3
140,F17,3,1
140,F18,1,1
140,F19,2,3
140,F20,73,32
140,F3,4,2
140,F4,2,0
140,F5,1,2
140,F6,2,4
140,F7,1,2
140,F8,2,1
140,F9,2,1
150,F1,2,1
150,F10,1,2
150,F11,5,2
150,F12,1,1
150,F13,5,1
150,F14,0,2
150,F15,1,4
150,F16,3,3
150,F17,1,2
150,F18,1,1
150,F19,3,3
150,F2,1,0
150,F20,46,45
150,F3,2,1
150,F4,1,3
150,F5,1,3
150,F6,1,0
150,F7,2,2
150,F8,2,1
150,F9,2,2
160,F10,2,2
160,F11,2,3
160,F12,1,1
160,F13,0,2
160,F14,3,4
160,F15,2,1
160,F16,4,6
160,F17,2,2
160,F18,5,3
160,F19,6,4
160,F20,54,39
160,F3,3,4
160,F4,1,0
160,F5,4,2
160,F6,2,1
160,F7,3,2
160,F8,2,1
160,F9,2,1
170,F10,1,1
170,F11,2,2
170,F12,1,4
170,F13,5,1
170,F15,1,1
170,F16,3,3
170,F17,6,2
170,F18,4,0
170,F19,1,1
170,F2,1,1
170,F20,47,25
170,F3,1,1
170,F4,0,1
170,F5,2,0
170,F6,1,3
170,F7,0,1
170,F8,2,1
170,F9,2,0
180,F10,1,3
180,F11,4,1
180,F12,3,0
180,F13,1,4
180,F14,4,3
180,F15,2,0
180,F16,2,1
180,F17,2,0
180,F18,4,1
180,F19,7,3
180,F2,2,0
180,F20,57,49
180,F3,2,4
180,F4,2,3
180,F5,3,2
180,F6,1,1
180,F7,1,3
180,F8,1,3
180,F9,2,1
190,F1,1,0
190,F10,2,1
190,F11,3,4
190,F12,1,3
190,F13,0,2
190,F14,2,2
190,F15,1,4
190,F16,3,5
190,F17,6,2
190,F18,8,2
190,F19,5,3
190,F20,55,41
190,F3,3,1
190,F4,1,4
190,F5,2,3
190,F6,4,1
190,F7,0,2
190,F8,0,2
190,F9,2,3
200,F11,2,2
200,F12,0,2
200,F13,2,1
200,F14,3,2
200,F15,4,2
200,F16,2,2
200,F17,1,2
200,F18,2,4
200,F19,2,2
200,F2,1,0
200,F20,59,44
200,F3,1,1
200,F4,3,3
200,F5,0,3
200,F6,2,5
200,F7,2,0
200,F8,3,0
200,F9,0,1
210,F10,2,0
210,F11,2,2
210,F12,3,3
210,F13,6,2
210,F14,0,1
210,F15,2,4
210,F16,6,2
210,F17,0,4
210,F18,2,2
210,F19,4,3
210,F20,66,48
210,F4,3,2
210,F5,3,5
210,F6,1,2
210,F7,1,2
210,F8,2,6
210,F9,3,2
220,F10,1,1
220,F11,1,1
220,F12,1,2
220,F13,6,2
220,F14,2,4
220,F15,1,0
220,F16,3,4
220,F17,5,3
220,F18,3,3
220,F19,2,3
220,F2,1,1
220,F20,60,32
220,F4,2,0
220,F5,4,2
220,F6,3,2
220,F7,2,0
220,F9,1,1
230,F10,4,2
230,F11,4,0
230,F12,2,3
230,F13,3,2
230,F14,0,3
230,F15,2,2
230,F16,2,2
230,F17,3,5
230,F18,0,4
230,F19,1,1
230,F2,1,1
230,F20,61,42
230,F4,1,4
230,F5,4,2
230,F6,0,1
230,F7,3,4
230,F8,2,0
230,F9,2,0
240,F10,2,0
240,F11,1,4
240,F12,1,2
240,F13,3,4
240,F14,2,1
240,F15,2,2
240,F16,3,3
240,F17,7,2
240,F18,1,4
240,F19,4,3
240,F2,2,0
240,F20,54,46
240,F4,2,4
240,F5,1,2
240,F6,0,4
240,F7,2,1
240,F8,1,0
240,F9,1,1
250,F10,0,2
250,F11,5,1
250,F12,2,1
250,F13,4,2
250,F14,1,4
250,F15,3,1
250,F16,1,4
250,F17,2,2
250,F18,1,3
250,F19,1,2
250,F20,54,39
250,F4,2,1
250,F5,2,3
250,F6,3,2
250,F7,0,2
250,F8,2,1
250,F9,2,0
260,F1,0,1
260,F10,0,1
260,F11,1,1
260,F12,1,6
260,F13,2,2
260,F14,1,2
260,F15,0,5
260,F16,4,0
260,F17,2,1
260,F18,1,2
260,F19,2,2
260,F20,56,41
260,F4,2,5
260,F5,2,0
260,F6,0,1
260,F7,2,1
260,F8,3,3
260,F9,2,2
270,F11,2,3
270,F12,2,2
270,F13,2,5
270,F14,2,1
270,F15,1,3
270,F16,3,3
270,F17,2,2
270,F18,2,4
270,F19,5,0
270,F2,2,1
270,F20,55,47
270,F4,5,2
270,F5,5,0
270,F6,1,2
270,F8,5,3
270,F9,3,3
280,F1,1,1
280,F10,2,2
280,F11,1,1
280,F12,2,3
280,F13,3,1
280,F14,3,1
280,F15,2,2
280,F16,2,2
280,F17,2,2
280,F18,3,5
280,F19,1,4
280,F2,2,1
280,F20,58,39
280,F5,2,3
280,F6,0,2
280,F7,0,3
280,F8,4,2
280,F9,1,4
290,F10,0,3
290,F11,3,2
290,F12,1,0
290,F13,2,3
290,F14,3,2
290,F15,2,2
290,F16,2,2
290,F17,6,2
290,F18,3,2
290,F19,3,4
290,F2,2,3
290,F20,57,40
290,F5,1,2
290,F6,0,1
290,F7,3,0
290,F8,0,1
290,F9,1,3
300,F10,2,1
300,F11,5,0
300,F12,1,2
300,F13,4,2
300,F14,3,3
300,F15,2,1
300,F16,6,5
300,F17,1,1
300,F18,4,1
300,F19,3,3
300,F2,0,1
300,F20,51,52
300,F5,2,2
300,F6,1,4
300,F7,3,2
300,F8,2,2
300,F9,4,4
310,F10,2,2
310,F11,1,1
310,F12,4,0
310,F13,3,0
310,F14,1,1
310,F15,4,3
310,F16,1,1
310,F17,5,3
310,F18,2,8
310,F19,6,4
310,F20,50,38
310,F5,1,3
310,F6,1,4
310,F8,1,0
310,F9,4,0
320,F10,3,2
320,F11,1,2
320,F12,2,2
