order_id,item_id,order_type
1,340,real
2,780,real
2,160,real
2,530,real
3,350,real
3,810,real
4,950,real
4,800,real
4,160,real
4,1060,real
4,490,real
5,820,real
5,580,real
5,410,real
5,700,real
6,290,real
7,780,real
7,480,real
8,830,real
8,200,real
8,210,real
9,320,real
10,1040,real
10,260,real
10,1070,real
10,750,real
11,300,real
11,470,real
11,220,real
12,230,real
12,730,real
12,210,real
12,620,real
12,460,real
13,230,real
14,100,real
14,620,real
15,900,real
15,540,real
15,230,real
15,830,real
15,920,real
16,540,real
16,200,real
16,400,real
16,340,real
17,330,real
17,1050,real
17,120,real
18,440,real
19,1080,real
19,390,real
19,1090,real
20,220,real
20,630,real
21,470,real
21,980,real
21,900,real
21,220,real
22,1080,real
22,200,real
22,100,real
22,210,real
22,900,real
23,100,real
23,460,real
24,940,real
25,800,real
25,940,real
26,170,real
26,140,real
27,870,real
28,980,real
29,260,real
30,690,real
30,120,real
30,1000,real
31,1080,real
31,170,real
31,560,real
31,990,real
31,340,real
32,550,real
32,840,real
33,590,real
33,350,real
33,990,real
33,600,real
33,670,real
34,560,real
34,1010,real
35,1000,real
35,410,real
35,120,real
35,530,real
36,560,real
37,600,real
37,870,real
37,410,real
38,330,real
38,210,real
39,180,real
39,560,real
39,510,real
39,110,real
39,910,real
40,880,real
40,910,real
40,690,real
41,300,real
41,740,real
42,540,real
42,320,real
42,160,real
42,770,real
42,170,real
43,310,real
43,520,real
43,200,real
43,950,real
43,700,real
44,680,real
44,110,real
44,340,real
44,980,real
45,170,real
45,440,real
45,590,real
45,680,real
46,370,real
47,530,real
47,940,real
48,120,real
48,320,real
48,190,real
48,580,real
49,550,real
49,1040,real
49,720,real
49,890,real
50,480,real
51,310,real
52,860,real
52,570,real
52,300,real
53,180,real
53,810,real
54,1070,real
54,260,real
54,350,real
54,510,real
55,600,real
56,240,real
56,440,real
57,200,real
57,630,real
57,710,real
57,910,real
57,830,real
58,610,real
58,330,real
59,410,real
59,1060,real
60,340,real
60,370,real
61,220,real
61,100,real
61,540,real
61,520,real
62,790,real
62,270,real
62,610,real
62,980,real
62,370,real
63,940,real
63,580,real
63,920,real
63,850,real
64,960,real
64,830,real
64,460,real
64,500,real
64,580,real
65,360,real
65,640,real
65,950,real
65,1040,real
66,770,real
66,830,real
67,860,real
67,940,real
67,570,real
67,990,real
67,740,real
68,170,real
68,300,real
68,910,real
68,1070,real
69,250,real
69,1040,real
69,350,real
69,630,real
70,350,real
71,1050,real
71,310,real
71,400,real
71,1090,real
72,760,real
72,480,real
72,150,real
72,1060,real
73,530,real
74,530,real
75,1000,real
75,650,real
75,110,real
75,230,real
76,770,real
77,310,real
78,600,real
78,330,real
79,880,real
79,390,real
79,950,real
79,120,real
79,270,real
80,790,real
80,780,real
80,270,real
80,280,real
81,470,real
81,930,real
81,370,real
81,110,real
82,790,real
82,240,real
82,550,real
82,470,real
82,800,real
83,110,real
83,130,real
83,770,real
83,500,real
84,830,real
84,900,real
85,790,real
85,400,real
85,960,real
85,660,real
86,500,real
86,740,real
87,750,real
87,520,real
87,290,real
87,690,real
88,250,real
89,480,real
89,290,real
89,1060,real
89,140,real
90,220,real
90,830,real
90,670,real
91,170,real
91,220,real
91,800,real
92,800,real
92,650,real
92,810,real
92,1060,real
92,1050,real
93,1080,real
93,700,real
93,450,real
93,720,real
94,560,real
95,620,real
95,310,real
96,1040,real
96,700,real
96,520,real
97,430,real
97,570,real
98,1010,real
98,1040,real
98,610,real
98,730,real
98,510,real
99,470,real
99,210,real
99,540,real
100,630,real
101,1040,real
101,670,real
102,290,real
102,190,real
103,1010,real
103,180,real
103,130,real
103,640,real
103,290,real
104,140,real
104,960,real
104,870,real
105,1040,real
105,610,real
106,800,real
106,1040,real
107,530,real
107,630,real
107,1060,real
107,790,real
107,850,real
108,370,real
108,410,real
108,870,real
109,130,real
109,540,real
109,940,real
109,390,real
109,170,real
110,790,real
110,780,real
110,420,real
110,1000,real
110,750,real
111,220,real
111,430,real
112,420,real
112,680,real
112,450,real
112,560,real
112,1040,real
113,940,real
113,910,real
113,1030,real
113,740,real
113,130,real
114,290,real
114,830,real
115,620,real
115,880,real
115,600,real
115,130,real
115,250,real
116,450,real
116,1080,real
116,850,real
117,330,real
117,490,real
118,660,real
118,200,real
118,250,real
119,120,real
119,620,real
119,920,real
119,630,real
119,940,real
120,160,real
120,830,real
120,550,real
121,650,real
122,940,simulated
123,1070,simulated
123,870,simulated
123,820,simulated
124,200,simulated
124,1020,simulated
124,1060,simulated
124,700,simulated
124,240,simulated
125,880,simulated
125,530,simulated
125,180,simulated
125,470,simulated
125,380,simulated
126,110,simulated
126,100,simulated
126,890,simulated
126,340,simulated
127,240,simulated
127,650,simulated
127,900,simulated
127,440,simulated
127,1060,simulated
128,510,simulated
129,150,simulated
130,1090,simulated
130,750,simulated
130,330,simulated
130,300,simulated
130,740,simulated
131,470,simulated
132,560,simulated
132,360,simulated
132,1010,simulated
132,1090,simulated
133,270,simulated
133,210,simulated
134,410,simulated
134,390,simulated
134,200,simulated
135,530,simulated
135,560,simulated
135,1040,simulated
136,300,simulated
136,690,simulated
136,280,simulated
136,520,simulated
137,800,simulated
137,1060,simulated
138,1060,simulated
138,830,simulated
138,500,simulated
138,780,simulated
139,310,simulated
139,360,simulated
139,790,simulated
139,1010,simulated
139,990,simulated
140,110,simulated
140,500,simulated
140,200,simulated
140,720,simulated
141,280,simulated
141,670,simulated
141,300,simulated
141,230,simulated
142,740,simulated
142,800,simulated
142,280,simulated
142,290,simulated
143,250,simulated
143,550,simulated
144,510,simulated
144,540,simulated
145,140,simulated
145,890,simulated
145,730,simulated
145,430,simulated
146,270,simulated
146,230,simulated
146,470,simulated
146,1050,simulated
147,780,simulated
147,650,simulated
147,450,simulated
147,1020,simulated
147,140,simulated
148,300,simulated
148,520,simulated
148,210,simulated
148,670,simulated
149,530,simulated
149,700,simulated
149,330,simulated
150,500,simulated
150,970,simulated
151,840,simulated
151,430,simulated
152,600,simulated
152,820,simulated
152,550,simulated
152,650,simulated
152,940,simulated
153,270,simulated
153,1000,simulated
154,920,simulated
154,630,simulated
155,600,simulated
155,540,simulated
156,270,simulated
156,810,simulated
157,390,simulated
157,120,simulated
157,650,simulated
157,110,simulated
157,310,simulated
158,880,simulated
159,1040,simulated
159,1090,simulated
160,1040,simulated
160,420,simulated
161,100,simulated
161,880,simulated
161,480,simulated
162,1080,simulated
162,360,simulated
162,1010,simulated
162,490,simulated
162,120,simulated
163,630,simulated
163,1000,simulated
163,940,simulated
163,280,simulated
163,740,simulated
164,870,simulated
165,290,simulated
165,780,simulated
166,1030,simulated
166,1060,simulated
166,780,simulated
167,430,simulated
168,800,simulated
168,570,simulated
168,410,simulated
168,1080,simulated
169,660,simulated
169,370,simulated
169,440,simulated
169,710,simulated
169,540,simulated
170,610,simulated
170,700,simulated
171,220,simulated
171,770,simulated
171,730,simulated
171,570,simulated
172,100,simulated
173,130,simulated
173,850,simulated
173,120,simulated
173,180,simulated
173,710,simulated
174,860,simulated
174,570,simulated
174,980,simulated
174,370,simulated
175,540,simulated
175,360,simulated
175,730,simulated
176,590,simulated
176,830,simulated
176,1090,simulated
177,370,simulated
177,270,simulated
178,510,simulated
178,850,simulated
178,430,simulated
178,230,simulated
179,660,simulated
179,370,simulated
179,510,simulated
179,150,simulated
179,380,simulated
180,710,simulated
180,500,simulated
180,760,simulated
180,900,simulated
181,320,simulated
181,140,simulated
181,1040,simulated
181,150,simulated
182,1010,simulated
182,860,simulated
182,810,simulated
182,950,simulated
183,850,simulated
183,960,simulated
183,530,simulated
184,740,simulated
185,140,simulated
185,480,simulated
185,1070,simulated
185,510,simulated
185,590,simulated
186,870,simulated
186,520,simulated
187,440,simulated
187,1010,simulated
187,120,simulated
188,630,simulated
188,280,simulated
188,1030,simulated
188,1070,simulated
189,890,simulated
190,1030,simulated
190,310,simulated
190,960,simulated
191,560,simulated
191,230,simulated
191,190,simulated
191,260,simulated
191,810,simulated
192,260,simulated
192,1040,simulated
192,960,simulated
192,1020,simulated
192,930,simulated
193,110,simulated
193,640,simulated
193,430,simulated
194,520,simulated
194,160,simulated
194,420,simulated
195,700,simulated
