order_id,eligibility,order_type
1,"['F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
2,"['F16', 'F17', 'F18', 'F19', 'F20']",real
3,"['F18', 'F19', 'F20']",real
4,"['F17', 'F18', 'F19', 'F20']",real
5,"['F18', 'F19', 'F20']",real
6,"['F16', 'F17', 'F18', 'F19', 'F20']",real
7,"['F17', 'F18', 'F19', 'F20']",real
8,"['F18', 'F19', 'F20']",real
9,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
10,"['F18', 'F19', 'F20']",real
11,"['F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
12,"['F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
13,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
14,"['F17', 'F18', 'F19', 'F20']",real
15,"['F17', 'F18', 'F19', 'F20']",real
16,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
17,"['F17', 'F18', 'F19', 'F20']",real
18,"['F16', 'F17', 'F18', 'F19', 'F20']",real
19,"['F18', 'F19', 'F20']",real
20,"['F17', 'F18', 'F19', 'F20']",real
21,"['F18', 'F19', 'F20']",real
22,"['F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
23,"['F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
24,"['F16', 'F17', 'F18', 'F19', 'F20']",real
25,"['F18', 'F19', 'F20']",real
26,"['F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
27,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
28,"['F17', 'F18', 'F19', 'F20']",real
29,"['F17', 'F18', 'F19', 'F20']",real
30,"['F16', 'F17', 'F18', 'F19', 'F20']",real
31,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
32,"['F18', 'F19', 'F20']",real
33,"['F17', 'F18', 'F19', 'F20']",real
34,"['F18', 'F19', 'F20']",real
35,"['F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
36,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
37,"['F17', 'F18', 'F19', 'F20']",real
38,"['F18', 'F19', 'F20']",real
39,"['F17', 'F18', 'F19', 'F20']",real
40,"['F16', 'F17', 'F18', 'F19', 'F20']",real
41,"['F17', 'F18', 'F19', 'F20']",real
42,"['F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
43,"['F17', 'F18', 'F19', 'F20']",real
44,"['F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
45,"['F18', 'F19', 'F20']",real
46,"['F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
47,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
48,"['F18', 'F19', 'F20']",real
49,"['F18', 'F19', 'F20']",real
50,"['F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
51,"['F16', 'F17', 'F18', 'F19', 'F20']",real
52,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
53,"['F18', 'F19', 'F20']",real
54,"['F18', 'F19', 'F20']",real
55,"['F18', 'F19', 'F20']",real
56,"['F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
57,"['F18', 'F19', 'F20']",real
58,"['F17', 'F18', 'F19', 'F20']",real
59,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
