order_id,item_id,order_type,site
1,230,real,F20
1,350,real,F20
1,430,real,F20
1,940,real,F20
2,530,real,F16
2,170,real,F16
2,900,real,F16
3,470,real,F20
3,520,real,F20
3,570,real,F20
3,710,real,F20
3,860,real,F20
4,940,real,F20
4,810,real,F20
4,790,real,F20
5,120,real,F12
5,400,real,F12
5,710,real,F12
5,680,real,F12
5,700,real,F12
6,1020,real,F20
6,720,real,F20
6,360,real,F20
7,930,real,F16
7,320,real,F16
8,970,real,F20
8,110,real,F20
8,960,real,F20
8,210,real,F20
9,890,real,F20
9,560,real,F20
9,910,real,F20
10,300,real,F19
10,780,real,F19
11,730,real,F20
12,200,real,F16
12,770,real,F16
12,400,real,F16
12,550,real,F16
13,370,real,F20
13,170,real,F20
13,420,real,F20
13,1030,real,F20
14,950,real,F20
14,740,real,F20
14,370,real,F20
15,1030,real,F20
16,130,real,F19
16,570,real,F19
16,1040,real,F19
16,870,real,F19
17,870,real,F19
17,1020,real,F19
17,1000,real,F19
17,640,real,F19
17,310,real,F19
18,1030,real,F20
18,750,real,F20
18,260,real,F20
18,500,real,F20
19,740,real,F20
19,940,real,F20
19,790,real,F20
19,380,real,F20
20,660,real,F11
21,480,real,F13
22,700,real,F12
22,590,real,F12
23,280,real,F20
23,1010,real,F20
23,910,real,F20
24,1050,real,F20
24,380,real,F20
24,440,real,F20
25,1040,real,F20
26,530,real,F20
26,1030,real,F20
26,600,real,F20
26,930,real,F20
27,510,real,F20
27,100,real,F20
27,1040,real,F20
27,390,real,F20
27,700,real,F20
28,1060,real,F20
29,420,real,F20
29,700,real,F16
29,940,real,F16
29,770,real,F20
29,570,real,F16
30,1000,real,F20
31,190,real,F11
32,310,real,F20
32,1060,real,F20
32,870,real,F20
33,1080,real,F20
33,970,real,F20
33,790,real,F20
34,990,real,F20
34,1020,real,F20
34,370,real,F20
34,980,real,F20
34,590,real,F20
35,100,real,F18
35,750,real,F20
35,550,real,F20
35,950,real,F20
35,830,real,F20
36,740,real,F13
37,680,real,F20
37,670,real,F20
37,1050,real,F20
38,1090,real,F20
39,830,real,F19
39,470,real,F19
39,920,real,F19
40,480,real,F14
41,640,real,F20
41,160,real,F19
41,910,real,F20
41,670,real,F20
42,510,real,F20
42,730,real,F20
43,760,real,F15
43,370,real,F15
44,730,real,F17
44,260,real,F17
45,1070,real,F20
45,860,real,F20
45,280,real,F20
46,830,real,F17
46,920,real,F17
46,990,real,F17
46,690,real,F17
47,410,real,F20
47,670,real,F20
47,640,real,F20
47,760,real,F20
47,1080,real,F20
48,690,real,F14
48,460,real,F14
49,1080,real,F20
49,850,real,F20
49,280,real,F20
49,440,real,F20
49,300,real,F20
50,570,real,F20
50,630,real,F20
50,970,real,F20
50,1070,real,F20
51,580,real,F20
51,820,real,F20
51,560,real,F20
51,520,real,F20
52,1060,real,F20
52,960,real,F20
53,140,real,F11
54,1020,real,F19
54,810,real,F19
54,240,real,F19
54,680,real,F19
55,200,real,F9
56,360,real,F7
56,440,real,F7
57,750,real,F20
57,140,real,F20
57,680,real,F20
57,980,real,F20
58,330,real,F12
58,320,real,F12
58,150,real,F12
58,700,real,F12
58,170,real,F12
59,510,real,F12
59,740,real,F12
59,320,real,F12
60,330,real,F20
60,630,real,F20
60,450,real,F20
60,1060,real,F20
61,430,real,F7
62,180,real,F20
62,510,real,F20
62,170,real,F20
62,980,real,F20
63,400,real,F11
64,690,real,F17
64,470,real,F17
65,740,real,F13
65,260,real,F13
65,390,real,F13
65,650,real,F13
66,350,real,F5
67,880,real,F17
67,900,real,F17
67,980,real,F17
67,490,real,F17
67,660,real,F17
68,710,real,F13
69,1060,real,F20
70,690,real,F13
70,100,real,F16
70,270,real,F16
70,640,real,F16
70,650,real,F16
71,1060,real,F20
71,890,real,F20
72,640,real,F20
72,620,real,F20
72,940,real,F20
73,250,real,F12
74,100,real,F16
74,940,real,F16
75,220,real,F20
75,660,real,F20
75,930,real,F20
75,140,real,F20
75,850,real,F20
76,420,real,F12
76,560,real,F12
77,400,real,F7
78,550,real,F13
78,330,real,F13
78,190,real,F13
78,680,real,F13
79,860,real,F18
79,140,real,F18
80,910,real,F20
80,490,real,F16
80,800,real,F20
80,600,real,F20
80,320,real,F20
81,190,real,F20
81,1050,real,F20
81,1070,real,F20
81,1040,real,F20
81,440,real,F20
82,560,real,F20
82,370,real,F20
82,860,real,F20
82,260,real,F20
83,360,real,F20
83,990,real,F20
